"ID","Age","Sex","Group","Home_Cage","Weight"
"G3_4",13,"Male","KO+MTX","C11151970",6.5
"G3_6",13,"Female","KO+Saline","C11151970",7.1
"G3_8",13,"Female","KO+MTX","C11151970",6.4
"G3_9",13,"Female","KO+Saline","C11151970",6.5
"G3_10",13,"Female","WT+MTX","C11151970",7
"G3_4",17,"Male","KO+MTX","C11151970",7.3
"G3_6",17,"Female","KO+Saline","C11151970",7.5
"G3_8",17,"Female","KO+MTX","C11151970",7.2
"G3_9",17,"Female","KO+Saline","C11151970",7.2
"G3_10",17,"Female","WT+MTX","C11151970",7.6
"G3_4",18,"Male","KO+MTX","C11151970",NA
"G3_6",18,"Female","KO+Saline","C11151970",NA
"G3_8",18,"Female","KO+MTX","C11151970",NA
"G3_9",18,"Female","KO+Saline","C11151970",NA
"G3_10",18,"Female","WT+MTX","C11151970",NA
"G3_4",19,"Male","KO+MTX","C11151970",8.2
"G3_6",19,"Female","KO+MTX","C11151970",8.6
"G3_8",19,"Female","KO+Saline","C11151970",8
"G3_9",19,"Female","KO+MTX","C11151970",8.7
"G3_10",19,"Female","KO+Saline","C11151970",8.8
"G3_4",20,"Male","KO+MTX","C11151970",NA
"G3_6",20,"Female","KO+MTX","C11151970",NA
"G3_8",20,"Female","KO+Saline","C11151970",NA
"G3_9",20,"Female","KO+MTX","C11151970",NA
"G3_10",20,"Female","KO+Saline","C11151970",NA
"G3_4",21,"Male","KO+MTX","C11151970",8.2
"G3_6",21,"Female","KO+MTX","C11151970",10
"G3_8",21,"Female","KO+Saline","C11151970",8
"G3_9",21,"Female","KO+MTX","C11151970",10.2
"G3_10",21,"Female","KO+Saline","C11151970",9.2
"G3_4",22,"Male","KO+MTX","C11151970",8.3
"G3_6",22,"Female","KO+Saline","C11151970",10.6
"G3_8",22,"Female","KO+MTX","C11151970",8.2
"G3_9",22,"Female","KO+Saline","C11151970",10.1
"G3_10",22,"Female","WT+MTX","C11151970",9.5
"G3_4",23,"Male","KO+MTX","C11151970",8.4
"G3_6",23,"Female","KO+Saline","C11151970",11.6
"G3_8",23,"Female","KO+MTX","C11151970",8.2
"G3_9",23,"Female","KO+Saline","C11151970",10.7
"G3_10",23,"Female","WT+MTX","C11151970",10.3
"G3_4",24,"Male","KO+MTX","C11151970",8.3
"G3_6",24,"Female","KO+Saline","C11151970",12.4
"G3_8",24,"Female","KO+MTX","C11151970",8.5
"G3_9",24,"Female","KO+Saline","C11151970",11.4
"G3_10",24,"Female","WT+MTX","C11151970",10.6
"G3_4",25,"Male","KO+MTX","C11151970",8.9
"G3_6",25,"Female","KO+Saline","C11151970",13.2
"G3_8",25,"Female","KO+MTX","C11151970",9.8
"G3_9",25,"Female","KO+Saline","C11151970",12.4
"G3_10",25,"Female","WT+MTX","C11151970",11.7
"G3_4",26,"Male","KO+MTX","C11151970",10.5
"G3_6",26,"Female","KO+Saline","C11151970",14.3
"G3_8",26,"Female","KO+MTX","C11151970",10.8
"G3_9",26,"Female","KO+Saline","C11151970",12.4
"G3_10",26,"Female","WT+MTX","C11151970",11.7
"G3_4",27,"Male","KO+MTX","C11151970",11.7
"G3_6",27,"Female","KO+Saline","C11151970",15.1
"G3_8",27,"Female","KO+MTX","C11151970",12
"G3_9",27,"Female","KO+Saline","C11151970",13.9
"G3_10",27,"Female","WT+MTX","C11151970",13.7
"G3_4",35,"Male","KO+MTX","C11151970",18.5
"G3_6",35,"Female","KO+Saline","C11151970",19.7
"G3_8",35,"Female","KO+MTX","C11151970",16.8
"G3_9",35,"Female","KO+Saline","C11151970",17.3
"G3_10",35,"Female","WT+MTX","C11151970",18.5
"G3_4",41,"Male","KO+MTX","C11151970",21.7
"G3_6",41,"Female","KO+Saline","C11151970",19.3
"G3_8",41,"Female","KO+MTX","C11151970",18.3
"G3_9",41,"Female","KO+Saline","C11151970",17.6
"G3_10",41,"Female","WT+MTX","C11151970",20
"G3_4",49,"Male","KO+MTX","C11151970",23.8
"G3_6",49,"Female","KO+Saline","C11151970",19.1
"G3_8",49,"Female","KO+MTX","C11151970",18.9
"G3_9",49,"Female","KO+Saline","C11151970",18.8
"G3_10",49,"Female","WT+MTX","C11151970",21
"G3_4",56,"Male","KO+MTX","C11151970",25.3
"G3_6",56,"Female","KO+Saline","C11151970",20.2
"G3_8",56,"Female","KO+MTX","C11151970",20.1
"G3_9",56,"Female","KO+Saline","C11151970",19.5
"G3_10",56,"Female","WT+MTX","C11151970",22.5
"G3_4",62,"Male","KO+MTX","C11151970",26.7
"G3_6",62,"Female","KO+Saline","C11151970",21.4
"G3_8",62,"Female","KO+MTX","C11151970",20.1
"G3_9",62,"Female","KO+Saline","C11151970",19.6
"G3_10",62,"Female","WT+MTX","C11151970",22.8
"G4_1",13,"Male","WT+MTX","C11151962",7.3
"G4_2",13,"Male","WT+Saline","C11151962",7.7
"G4_6",13,"Female","WT+MTX","C11151962",8.1
"G4_7",13,"Female","KO+MTX","C11151962",7.6
"G4_8",13,"Female","WT+Saline","C11151962",7.5
"G4_1",17,"Male","WT+MTX","C11151962",8.2
"G4_2",17,"Male","WT+Saline","C11151962",8
"G4_6",17,"Female","WT+MTX","C11151962",8.3
"G4_7",17,"Female","KO+MTX","C11151962",7.9
"G4_8",17,"Female","WT+Saline","C11151962",7.6
"G4_1",18,"Male","WT+MTX","C11151962",NA
"G4_2",18,"Male","WT+Saline","C11151962",NA
"G4_6",18,"Female","WT+MTX","C11151962",NA
"G4_7",18,"Female","KO+MTX","C11151962",NA
"G4_8",18,"Female","WT+Saline","C11151962",NA
"G4_1",19,"Male","WT+MTX","C11151962",8.8
"G4_2",19,"Male","WT+Saline","C11151962",9.4
"G4_6",19,"Female","WT+MTX","C11151962",9.3
"G4_7",19,"Female","KO+MTX","C11151962",8.8
"G4_8",19,"Female","WT+Saline","C11151962",8.7
"G4_1",20,"Male","WT+MTX","C11151962",NA
"G4_2",20,"Male","WT+Saline","C11151962",NA
"G4_6",20,"Female","WT+MTX","C11151962",NA
"G4_7",20,"Female","KO+MTX","C11151962",NA
"G4_8",20,"Female","WT+Saline","C11151962",NA
"G4_1",21,"Male","WT+MTX","C11151962",8.9
"G4_2",21,"Male","WT+Saline","C11151962",11.4
"G4_6",21,"Female","WT+MTX","C11151962",10.1
"G4_7",21,"Female","KO+MTX","C11151962",9.2
"G4_8",21,"Female","WT+Saline","C11151962",10.7
"G4_1",22,"Male","WT+MTX","C11151962",8.7
"G4_2",22,"Male","WT+Saline","C11151962",12.1
"G4_6",22,"Female","WT+MTX","C11151962",10.5
"G4_7",22,"Female","KO+MTX","C11151962",9.3
"G4_8",22,"Female","WT+Saline","C11151962",10.9
"G4_1",23,"Male","WT+MTX","C11151962",9.4
"G4_2",23,"Male","WT+Saline","C11151962",12.9
"G4_6",23,"Female","WT+MTX","C11151962",11.4
"G4_7",23,"Female","KO+MTX","C11151962",9.8
"G4_8",23,"Female","WT+Saline","C11151962",11.7
"G4_1",24,"Male","WT+MTX","C11151962",9.4
"G4_2",24,"Male","WT+Saline","C11151962",14.3
